Language,Reference,Input,Output,Environment,Elaboration outcome: Labiodental,Elaboration outcome: Palato-alveolar,Elaboration outcome: Retroflex,Elaboration outcome: Uvular,Elaboration outcome: Pharyngeal,Elaboration outcome: Palatalization,Elaboration outcome: Labialization,Elaboration outcome: Pharyngealization,Elaboration outcome: Velarization,Elaboration outcome: Prenasalization,Elaboration outcome: Nasal release,Elaboration outcome: Lateral release,Elaboration outcome: Ejective,Elaboration outcome: Implosive,Elaboration outcome: Click,Elaboration outcome: Breathy voice,Elaboration outcome: Creaky voice,Elaboration outcome: Voiced fricative or affricate,Elaboration outcome: voiceless sonorant,Elaboration outcome: Pre-aspiration,Elaboration outcome: Post-aspiration,Basic outcome: voiceless stops /p t k/,Basic outcome: voiced stops /b d g/,Basic outcome: nasals /m n ŋ/,Basic outcome: /tʃ/,Basic outcome: /f/,Basic outcome: /s/,Basic outcome: /ʔ/,Basic outcome: /h/,Basic outcome: /r/,Basic outcome: /l/,Basic outcome: /j/,Basic outcome: /w/,Process changing voiceless stops /p t k/,Process changing voiced stops /b d g/,Process changing nasals /m n ŋ/,,,,,,,
Alyawarra,Yallop 1977: 17,p, t, k,b, d, ɡ,/nasal, lateral/ _ V,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,
Alyawarra,Yallop 1977: 17,p, t̪, t, ʈ, c, k,pʰ, t̪ʰ, tʰ, ʈʰ, cʰ, kʰ (slightly aspirated),$ _ in stressed syllable,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Alyawarra,Yallop 1977: 19,l,ɮ,/ij, aj/ _ C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,
Alyawarra,Yallop 1977: 25,i, u,(j)ɪ, jə; wu, wə,# _,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,,,,
Apinayé,Cunha de Oliveira 2005,ŋ,ŋɡ (stop contour),_ oral V,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,,,
Apinayé,Cunha de Oliveira 2005: 43-52,p, t, k, tʃ,b, d, ɡ, dʒ~dʑ,_ #,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 43-52,p, t, k, tʃ,b, d, ɡ, dʒ~dʑ,$ _ (onset of unstressed syllable),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 46,∅,m,nasal V _ p $,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 48,t,ɾ,e _, _ e (adjacent to coronal vowels),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,,,,,,
Apinayé,Cunha de Oliveira 2005: 48,t,ʈ~ɖ,_ /o, u/,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,
Apinayé,Cunha de Oliveira 2005: 48,t,t̪,_ i,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 50,k,kʲ,_ /i, e/,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,
Apinayé,Cunha de Oliveira 2005: 55,m,b,/ə, o/ _, _ /ə, o/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,
Apinayé,Cunha de Oliveira 2005: 57,ɾ,ɽ~ɭ,_ #,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 57,ɾ,ɽ,$ _ word medially,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 58,j,dʒ,_ ##V,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 58,j,ʑ,$ _ V in stressed syllables,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 58,j,z,$ C _ V (in second position in complex syllable onsets),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 59,w,v,$ (C) _,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 59,w,ʋ,_ $ word-medially,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 59,w,ʋ,$ C _ V (in second position in complex syllable onsets,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 73,ɾ,ɾ̃~n,_ nasal V, nasal V _ (in same syllable as nasal V),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,
Apinayé,Cunha de Oliveira 2005: 75-76,t,ɾ,_ t,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,,,,,,,
Apinayé,Cunha de Oliveira 2005: 78,∅,h,V $ _ voiceless obstruent (when second syllable is stressed),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,,,,,
Awngi,Hetzron 1969: 4,b,β,V _ /V, #/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,,,,
Awngi,Hetzron 1969: 5,C,Cʷ,_ o,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,,,
Awngi,Hetzron 1969: 5,C,Cʲ,_ /i, e, æ/,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,,
Awngi,Hetzron 1969: 5,o,wa,freely,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
Awngi,Sharpe 1972: 15,nd, t, n,ɳɖ, ʈ, ɳ,retroflex C _,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,,,,,,,
Awngi,Sharpe 1972: 15,ŋɡ, k, ŋ,ɲɟ, c, ɲ,/i, e/ _,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,,,,,,
Awngi,Sharpe 1972: 15,ŋɡ, k, ŋ,ɲɟ, c, ɲ,/n̠d̠, t̠, n̠, l̠/ _, _ /n̠d̠, t̠, n̠, l̠/ (contiguous to alveopalatal Cs),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y
Awngi,Sharpe 1972: 15,n, l,ɾn, ɾl (flap onset),_ $,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,,,,,,,
Awngi,Sharpe 1972: 15,p, t, k,b, d, ɡ,# _,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Awngi,Sharpe 1972: 15,p, t, k,b, d, ɡ,word-medially, including /nasal C/ _,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
Awngi,Sharpe 1972: 15,p, t, ʈ, t̠, k,pʰ, tʰ, ʈʰ, t̠ʰ, kʰ, _# in a stressed word,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
